Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
67646,0.85,-1.22,1.46,-0.05,0.87,0.46,Correct
68000,0.43,-0.24,1.34,0.12,0.97,-0.06,Wrong
68222,0.79,-0.73,1.77,0.12,0.14,0.99,Wrong
68531,0.98,-1.4,1.71,0.11,0.09,1,Wrong
68541,0.73,-1.34,1.4,0.12,0.43,0.89,Correct
68646,0.61,-0.73,1.4,-0.05,0.88,0.46,Correct
69000,0.92,-0.79,0.92,0.12,0.97,-0.06,Wrong
69222,0.61,-0.73,1.71,0.12,0.14,0.99,Wrong
69531,0.92,-0.67,1.71,0.11,0.09,1,Wrong
69541,0.67,-0.49,1.53,0.13,0.43,0.89,Correct
69646,0.85,-0.73,1.34,-0.05,0.88,0.46,Correct
70000,0.92,-0.73,1.4,0.12,0.97,-0.06,Wrong
70222,0.85,-0.73,1.53,0.12,0.14,0.99,Wrong
70531,0.79,-0.61,1.71,0.1,0.09,1,Wrong
70541,0.67,0.18,1.46,0.13,0.43,0.89,Correct
70646,1.04,-0.85,1.53,-0.05,0.87,0.46,Correct
71000,0.55,-0.73,1.1,0.12,0.97,-0.06,Wrong
71222,0.79,-0.67,1.71,0.12,0.14,0.99,Wrong
71531,0.98,-0.73,1.89,0.1,0.09,1,Wrong
71541,1.4,-1.53,1.4,0.14,0.44,0.88,Correct
71646,0.85,-0.73,1.53,-0.05,0.87,0.46,Correct
72000,0.92,-0.61,1.71,0.12,0.97,-0.06,Wrong
72222,0.98,-0.79,1.65,0.12,0.14,0.99,Wrong
72531,0.85,-0.61,1.77,0.11,0.09,1,Wrong
72541,0.61,0,1.34,0.13,0.43,0.89,Correct
72646,0.55,-0.79,1.65,-0.05,0.88,0.46,Correct
72737,5.68,8.36,10.68,0.39,0.24,0.93,Correct
73000,0.67,-0.79,1.22,0.12,0.97,-0.06,Wrong
73222,0.98,-0.85,1.71,0.12,0.14,0.99,Wrong
73531,0.98,-0.73,1.77,0.11,0.09,1,Wrong
73541,0.85,-0.92,1.34,0.13,0.43,0.89,Correct
73646,0.73,-0.55,1.53,-0.05,0.88,0.46,Correct
73737,11.29,-0.67,2.14,0.38,0.17,0.95,Correct
74000,0.73,-0.61,1.28,0.12,0.97,-0.06,Wrong
74222,0.73,-0.92,1.71,0.11,0.14,1,Wrong
74531,0.73,-0.61,1.71,0.11,0.09,1,Wrong
74541,0.92,-1.16,1.22,0.13,0.43,0.89,Correct
74646,0.79,-0.49,1.65,-0.05,0.88,0.46,Correct
74737,-0.31,6.9,0.55,0.27,0.1,0.94,Correct
75000,0.55,-0.49,1.4,0.12,0.97,-0.06,Wrong
75222,0.49,-0.85,1.59,0.12,0.14,0.99,Wrong
75531,0.85,-0.67,2.08,0.1,0.09,1,Wrong
75541,0.73,-0.55,1.16,0.11,0.43,0.89,Correct
75646,0.73,-1.04,1.71,-0.05,0.87,0.46,Correct
75737,1.22,-2.56,2.38,0.23,0.04,0.93,Correct
76000,1.04,0.43,1.46,0.11,0.97,-0.07,Wrong
76222,0.85,-0.55,1.65,0.11,0.14,0.99,Wrong
76531,0.67,-0.55,1.77,-0.01,0.06,1.01,Wrong
76541,0.85,-0.79,1.46,0.12,0.43,0.9,Correct
76646,0.85,-0.37,1.77,-0.05,0.88,0.46,Correct
76737,1.65,-3.85,-0.43,0.23,0.02,0.93,Correct
77000,0.24,0.49,1.89,0.12,0.97,-0.06,Wrong
77222,0.85,-0.67,1.59,0.12,0.14,0.99,Wrong
77531,0.92,-1.65,2.44,-0.03,0.06,1.01,Wrong
77541,1.04,-1.04,1.4,0.13,0.43,0.89,Correct
77646,0.85,-0.67,1.53,-0.05,0.87,0.46,Correct
77737,-3.11,-5.86,0,0.26,0.06,0.97,Correct
78000,0.67,-1.28,1.1,0.11,0.97,-0.06,Wrong
78222,0.85,-0.67,1.4,0.12,0.14,0.99,Wrong
78531,0.61,-3.42,1.89,-0.06,0.05,1.01,Wrong
78541,0.85,-0.92,1.46,0.13,0.43,0.89,Correct
78646,0.55,0,1.71,-0.05,0.88,0.46,Correct
78737,-2.14,-10.74,-0.55,0.34,0.17,0.94,Correct
79000,0.37,-0.06,1.77,0.13,0.97,-0.06,Wrong
79222,0.79,-0.61,1.53,0.12,0.14,0.99,Wrong
79531,2.62,1.77,0.92,-0.05,0.04,1.01,Wrong
79541,0.73,-1.04,1.4,0.12,0.43,0.89,Correct
